Name,RAT,POS,VER,Price,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS
Anthony Martial,97,CM  RM,Shapeshifters  Controlled,68.5K,4,5,H \ H,93,86,98,97,88,96,"184cm | 6'0""  Unique (76kg)",1065,558,2682
Bastian Schweinsteiger,97,CB  RB,Shapeshifters ICON  Controlled,258K,3,5,H \ H,90,80,88,86,97,97,"183cm | 6'0""  Average (79kg)",1318,538,2576
Paul Pogba,97,"ST  RM,CF,RW",Shapeshifters  Lengthy,112K,5,5,H \ L,95,97,91,95,67,95,"191cm | 6'3""  Unique (84kg)",1330,540,2592
Raphaël Varane,97,CB,Level Up  Lengthy,0,2,5,M \ H,93,62,77,86,98,96,"191cm | 6'3""  Unique (81kg)",669,512,2357
Ángel Di María,97,"RW  RM,CAM,ST",Futties Premium  Explosive,600K,5,5,H \ M,97,94,95,98,61,84,"180cm | 5'11""  Unique (69kg)",694,529,2559
Julián Álvarez,97,"ST  CF,RW,LW",Futties  Explosive,400K,5,5,H \ H,95,97,93,95,65,86,"173cm | 5'8""  Average (71kg)",722,531,2554
Roberto Carlos,97,LB  LWB,Cover Star Icon  Controlled,397.75K,5,5,H \ H,97,90,97,92,92,92,"168cm | 5'6""  Unique (69kg)",4604,560,2691
Ibrahima Konaté,97,CB,Futties Premium  Lengthy,0,3,5,M \ H,95,50,77,87,97,97,"194cm | 6'4""  High & Stocky (95kg)",1404,503,2289
Marco Reus,97,"CAM  CF,ST,LW",Futties  Controlled,60K,5,5,H \ M,97,93,93,96,73,90,"180cm | 5'11""  Unique (71kg)",1134,542,2620
Yaya Touré,97,"CM  CDM,CAM",Futties Hero  Lengthy,942K,4,5,H \ H,93,94,96,94,95,99,"188cm | 6'2""  High & Average+ (90kg)",1769,571,2726
Gabriel Jesus,97,"ST  RM,CF,RW",Futties  Explosive,170K,5,5,H \ H,96,94,90,98,53,89,"175cm | 5'9""  Unique (73kg)",740,520,2507
Al-Owairan,97,"RW  RM,CAM,ST",Futties Hero  Controlled,310K,5,5,H \ M,99,94,93,97,52,88,"184cm | 6'0""  Lean (76kg)",1081,523,2528
Joe Cole,97,"RW  RM,CAM,LW",Futties Hero SBC  Controlled,0,5,4,H \ M,97,95,96,98,67,88,"176cm | 5'9""  Short & Lean- (73kg)",1153,541,2586
Wayne Rooney,97,"ST  CAM,CF,LW",Cover Star Icon SBC  Controlled,1.01M,5,5,H \ M,96,97,92,94,60,97,"176cm | 5'9""  Stocky (83kg)",992,536,2588
Marcos Llorente,97,"CM  RB,RM",Futties SBC  Controlled,330.25K,4,5,H \ M,97,92,95,96,94,93,"184cm | 6'0""  Lean (74kg)",3249,567,2672
Jan Oblak,97,GK,Futties  Controlled,24K,2,4,M \ M,95,98,88,97,57,96,"188cm | 6'2""  Unique (87kg)",814,531,1056
David Alaba,97,"CB  LB,CDM",Futties  Controlled,180K,3,5,M \ H,91,85,96,94,98,94,"180cm | 5'11""  Average (78kg)",1014,558,2711
Xabi Alonso,97,CDM  CM,Cover Star Icon  Controlled,390.85K,5,5,M \ H,93,94,98,95,95,94,"183cm | 6'0""  Average (77kg)",2774,569,2752
Alessandro Florenzi,97,"CM  RWB,RB",Futties Premium  Explosive,29.5K,4,5,H \ M,95,95,96,98,93,91,"173cm | 5'8""  Unique (67kg)",865,568,2745
David Ginola,97,"LM  CAM,ST,LW",Futties Hero  Controlled,170K,5,5,H \ M,97,96,95,98,65,93,"186cm | 6'1""  High & Average (83kg)",1329,544,2625
Thiago,97,CAM  CM,Futties SBC  Explosive,132.7K,5,4,M \ M,94,92,97,95,85,82,"174cm | 5'9""  Average (70kg)",-1107,545,2671
Mykhailo Mudryk,97,"LW  LM,CAM,RW",Futties Premium SBC  Explosive,315.65K,5,5,H \ M,99,94,95,98,56,78,"175cm | 5'9""  Lean (61kg)",934,520,2466
Sergio Busquets,97,CDM  CM,Futties Premium  Controlled,24.25K,4,5,M \ H,92,90,95,98,96,93,"189cm | 6'2""  High & Average+ (76kg)",478,564,2671
Iván Córdoba,97,CB  RB,Futties Hero  Controlled,92.5K,3,5,M \ H,95,72,75,87,97,96,"173cm | 5'8""  Average (70kg)",805,522,2484
Kevin-Prince Boateng,97,"CAM  CDM,CM",Premium SBC  Lengthy,0,5,4,H \ H,94,95,95,97,88,96,"186cm | 6'1""  High & Average (77kg)",325,565,2715
Hidetoshi Nakata,97,"CAM  CM,ST",Futties Hero SBC  Explosive,192.45K,5,5,H \ M,96,96,95,97,75,76,"175cm | 5'9""  Lean (72kg)",-121,535,2594
Iker Casillas,97,GK,Cover Star Icon SBC  Controlled,108.45K,3,5,M \ H,98,95,91,99,74,96,"185cm | 6'1""  Average (0kg)",-167,553,1384
Mason Mount,97,CAM  RW,ShowDown SBC  Explosive,174.5K,5,4,H \ H,94,96,98,98,70,86,"180cm | 5'11""  Lean (74kg)",-175,542,2601
Alexis Sánchez,97,"LW  LM,CF,ST",Player Moments  Controlled,0,5,4,H \ H,95,96,96,99,62,91,"168cm | 5'6""  Unique (62kg)",315,539,2617
Christian Pulisic,97,"LW  LM,RW",Dynamic Duos  Explosive,90.85K,5,5,H \ M,99,94,96,99,51,83,"177cm | 5'10""  Lean (69kg)",406,522,2515
Yunus Musah,97,"RM  CM,LM,RW",Dynamic Duos  Controlled,90.85K,5,5,H \ H,99,93,92,99,82,90,"178cm | 5'10""  Average (73kg)",274,555,2598
Daley Blind,97,"CB  LB,CDM",Player Moments SBC  Controlled,63.25K,3,5,M \ H,93,77,97,94,97,92,"180cm | 5'11""  Average (72kg)",-976,550,2640
Arthur,97,CM  CDM,Player Moments  Controlled,0,5,5,H \ H,96,91,99,99,93,90,"171cm | 5'7""  Unique (73kg)",-56,568,2755
Loïs Openda,97,ST  CF,Player Moments SBC  Controlled,118.55K,4,5,H \ L,99,96,94,97,54,97,"174cm | 5'9""  Average (78kg)",-955,537,2531
Axel Disasi,97,CB,Dynamic Duos  Lengthy,139.55K,5,4,M \ H,94,50,84,94,97,99,"190cm | 6'3""  High & Average (86kg)",241,518,2409
Moisés Caicedo,97,CM  CDM,Dynamic Duos  Controlled,139.55K,4,5,H \ H,95,89,94,95,96,97,"178cm | 5'10""  Average (71kg)",-446,566,2682
Ronaldo,96,ST  CF,Icon  Controlled,1.09M,5,5,M \ M,97,95,81,95,45,76,"183cm | 6'0""  R9 (78kg)",4365,489,2341
Zinedine Zidane,96,CAM  CM,Icon  Controlled,296K,5,5,M \ M,85,92,96,95,75,86,"185cm | 6'1""  Average (77kg)",2187,529,2548
Pelé,96,"CF  CAM,ST",World Cup ICON  Explosive,1.42M,5,4,H \ M,96,94,92,95,58,75,"173cm | 5'8""  Unique (70kg)",1318,510,2475
Thibaut Courtois,96,GK,TOTY  Controlled,150K,1,3,M \ M,90,95,85,97,60,95,"199cm | 6'6""  Courtois (96kg)",3347,522,1002
Virgil van Dijk,96,CB,TOTY  Lengthy,550K,2,3,M \ H,88,65,80,83,97,94,"193cm | 6'4""  Unique (92kg)",604,507,2400
Luka Modric,96,CM,TOTY  Explosive,147K,4,4,M \ M,85,86,97,97,85,83,"172cm | 5'8""  Lean (66kg)",3860,533,2602
Erling Haaland,96,ST  CF,TOTY  Lengthy,260K,4,4,H \ M,96,96,80,88,60,94,"195cm | 6'5""  Unique (94kg)",3456,514,2418
Mohamed Salah,96,RW  RM,TOTS  Controlled,88.5K,5,3,H \ M,96,95,90,97,54,83,"175cm | 5'9""  Salah (71kg)",1314,515,2469
Rúben Dias,96,CB,TOTS  Lengthy,53.5K,2,4,M \ H,88,48,83,83,97,97,"187cm | 6'2""  High & Average (82kg)",2658,496,2295
Joshua Kimmich,96,"CDM  RB,CM",TOTS  Controlled,25K,4,4,H \ H,86,80,98,92,92,90,"177cm | 5'10""  Average (75kg)",2049,538,2585
Matthijs de Ligt,96,CB,TOTS  Lengthy,74.5K,2,4,M \ H,90,68,80,83,95,96,"189cm | 6'2""  Unique (89kg)",1704,512,2391
Cristiano Ronaldo,96,ST  CF,TOTS Moments  Controlled,290K,5,4,H \ L,94,98,86,94,38,84,"187cm | 6'2""  CR7 (83kg)",7828,494,2399
Neymar Jr,96,"LW  LM,CAM",TOTS Moments  Explosive,285K,5,5,H \ M,95,93,92,99,44,71,"175cm | 5'9""  Neymar (68kg)",2274,494,2425
Khvicha Kvaratskhelia,96,"LW  LM,CAM",TOTS  Controlled,90K,5,5,M \ M,98,91,92,98,52,82,"183cm | 6'0""  Average (70kg)",1678,513,2447
Khvicha Kvaratskhelia,96,"LW  LM,CAM",Award Winner  Controlled,0,5,5,M \ M,98,91,92,98,52,82,"183cm | 6'0""  Average (70kg)",218,513,2447
Memphis Depay,96,CM  CAM,Shapeshifters  Controlled,32.5K,5,4,H \ M,91,88,97,95,91,93,"176cm | 5'9""  Unique (78kg)",1287,555,2656
Antonio Rüdiger,96,ST  CF,Shapeshifters  Lengthy,30K,4,5,H \ H,98,95,86,92,65,94,"190cm | 6'3""  High & Average+ (85kg)",1587,530,2533
Robin van Persie,96,CAM  CF,Shapeshifters ICON  Controlled,17K,4,5,H \ M,93,96,98,94,75,89,"183cm | 6'0""  High & Average (71kg)",620,545,2612
Robin van Persie,96,RW  RM,Shapeshifters ICON  Controlled,19.75K,5,4,H \ M,98,95,88,98,51,78,"183cm | 6'0""  High & Average (71kg)",1309,508,2455
Samuel Eto'o,96,RW  RM,Shapeshifters ICON  Explosive,91.5K,5,5,H \ L,97,92,92,97,51,84,"179cm | 5'10""  Lean (75kg)",814,513,2485
Samuel Eto'o,96,LW  LM,Shapeshifters ICON  Explosive,80K,5,5,H \ L,97,92,92,97,51,84,"179cm | 5'10""  Lean (75kg)",579,513,2485
Frenkie de Jong,96,CDM  CB,Shapeshifters  Controlled,72K,4,5,H \ H,91,81,93,94,97,93,"180cm | 5'11""  Unique (74kg)",1269,549,2606
N'Golo Kanté,96,CDM  CM,Premium SBC  Controlled,509K,4,5,M \ H,90,81,91,90,98,90,"168cm | 5'6""  Unique (70kg)",-985,540,2553
Hugo Lloris,96,CM  CDM,Shapeshifters  Lengthy,26.25K,4,5,M \ H,91,87,97,93,93,95,"188cm | 6'2""  Unique (82kg)",675,556,2698
João Félix,96,CAM  CM,Shapeshifters  Controlled,54K,5,5,H \ M,94,91,94,96,80,86,"181cm | 5'11""  Unique (70kg)",915,541,2595
Cavani,96,ST  CF,Level Up Premium Obj  Controlled,0,5,4,H \ H,92,96,89,94,65,89,"185cm | 6'1""  Unique (77kg)",958,525,2561
Hakan Çalhanoglu,96,"CM  CDM,CAM",Level Up Obj  Controlled,0,4,5,H \ H,94,91,97,94,90,89,"178cm | 5'10""  Average (76kg)",1259,555,2645
Timo Werner,96,"ST  CF,LW",Level Up Obj  Explosive,0,4,5,H \ M,99,94,90,96,48,82,"180cm | 5'11""  Unique (76kg)",565,509,2447
Leon Goretzka,96,CM  CDM,Level Up  Controlled,180K,3,5,H \ H,91,91,93,93,91,95,"189cm | 6'2""  Unique (82kg)",286,554,2625
Gabriel Martinelli,96,"LM  CF,LW",Level Up  Explosive,0,5,4,H \ H,99,90,90,98,71,90,"178cm | 5'10""  Lean (75kg)",370,538,2553
Aurélien Tchouaméni,96,CDM  CM,Level Up  Controlled,0,3,5,M \ H,93,83,92,91,94,96,"187cm | 6'2""  High & Average+ (81kg)",447,549,2570
Diogo Jota,96,"ST  CF,LW",Futties  Explosive,0,5,5,H \ H,96,94,88,96,70,88,"178cm | 5'10""  Average (73kg)",1032,532,2552
Heung Min Son,96,"LW  LM,CAM",Futties Premium SBC  Controlled,574.15K,5,5,H \ M,96,97,91,97,49,80,"183cm | 6'0""  Unique (78kg)",3120,510,2441
Joe Gomez,96,CB  RB,Futties  Lengthy,216K,3,5,M \ H,94,45,86,86,96,96,"188cm | 6'2""  Unique (77kg)",809,503,2325
Rodrygo,96,RW  RM,Futties SBC  Explosive,371.65K,5,5,H \ M,99,92,87,98,50,74,"174cm | 5'9""  Lean (64kg)",2162,500,2444
Kessié,96,CDM  CM,Futties Premium  Lengthy,88.5K,4,5,H \ H,91,88,90,92,93,99,"183cm | 6'0""  Average (88kg)",815,553,2615
Henrikh Mkhitaryan,96,"CAM  CM,CF,ST",Futties Premium  Controlled,0,5,5,H \ L,95,94,92,96,74,88,"177cm | 5'10""  Average (75kg)",512,539,2602
Antoine Griezmann,96,"ST  CAM,CF,RW",Futties  Explosive,109K,5,5,H \ M,96,94,94,96,78,90,"176cm | 5'9""  Unique (73kg)",1026,548,2679
Harry Kewell,96,"LW  LM,CAM",Futties Hero  Controlled,0,5,4,H \ M,97,96,94,95,70,81,"180cm | 5'11""  Average (74kg)",505,533,2564
Tammy Abraham,96,ST  CF,Futties  Lengthy,199.2K,5,4,H \ M,96,96,90,96,51,93,"195cm | 6'5""  High & Average+ (86kg)",1589,522,2473
Kalidou Koulibaly,96,CB,Futties Premium SBC  Lengthy,136.1K,2,5,M \ H,91,42,75,84,96,96,"187cm | 6'2""  Unique (89kg)",2602,484,2204
Thomas Lemar,96,"CM  RM,LM",Futties Premium  Explosive,0,5,5,H \ H,94,90,94,99,90,84,"171cm | 5'7""  Lean (63kg)",1037,551,2650
Jules Koundé,96,CB  RB,Futties SBC  Controlled,422.5K,3,3,H \ H,94,56,85,87,96,91,"181cm | 5'11""  Average (75kg)",1610,509,2334
Carvajal,96,RB  RWB,Futties  Controlled,96.5K,4,4,H \ M,96,80,91,92,94,94,"173cm | 5'8""  Unique (73kg)",694,547,2591
Jadon Sancho,96,"RW  RM,CAM",Futties  Explosive,66.5K,5,4,H \ M,97,92,96,98,60,83,"180cm | 5'11""  Unique (76kg)",662,526,2522
Rayan Cherki,96,"CAM  LM,ST,LW",Futties SBC  Explosive,154.65K,5,5,H \ M,94,91,96,96,61,82,"176cm | 5'9""  Stocky (71kg)",-225,520,2486
Anssumane Fati,96,LW  LM,Futties Premium SBC  Explosive,880.85K,5,5,H \ M,98,99,91,91,51,83,"178cm | 5'10""  Unique (66kg)",-2099,513,2508
Jonathan Clauss,96,RWB  RB,Futties Premium  Controlled,26.5K,5,4,H \ H,99,89,91,96,90,90,"178cm | 5'10""  Lean (69kg)",743,555,2626
Ryan Gravenberch,96,CM  CDM,Futties  Controlled,23.5K,5,4,H \ M,92,90,95,97,92,92,"190cm | 6'3""  High & Average+ (79kg)",495,558,2653
Coutinho,96,"CAM  CM,ST,LW",Futties  Explosive,26K,5,5,H \ M,91,94,95,98,72,80,"172cm | 5'8""  Average (68kg)",631,530,2578
Antonio Di Natale,96,"ST  CF,RW,LW",Futties Hero  Controlled,50K,5,5,H \ M,97,96,93,98,65,83,"170cm | 5'7""  Short & Lean- (69kg)",841,532,2581
Rui Manuel César Costa,96,"CAM  CF,ST",Cover Star Icon SBC  Controlled,135.85K,5,4,H \ M,95,95,96,96,55,91,"180cm | 5'11""  Average (73kg)",1666,528,2561
Andriy Shevchenko,96,ST  CF,Cover Star Icon SBC  Controlled,105.7K,5,4,H \ H,96,96,94,96,40,92,"183cm | 6'0""  Average (70kg)",2124,514,2492
Federico Chiesa,96,RW  RM,Futties Premium  Controlled,0,5,4,H \ M,99,95,96,98,63,90,"175cm | 5'9""  Average (70kg)",746,541,2553
Isco,96,"CAM  CM,LW",Futties Premium  Explosive,0,5,5,M \ M,88,90,96,99,80,81,"176cm | 5'9""  Average (79kg)",95,534,2601
Alexandre Lacazette,96,ST  CF,Futties  Controlled,0,5,4,H \ H,97,94,94,96,57,94,"175cm | 5'9""  Unique (73kg)",45,532,2564
Ronald Araujo,96,CB  RB,Futties  Lengthy,41K,3,5,M \ H,94,64,85,85,96,95,"192cm | 6'4""  High & Average (91kg)",1051,519,2399
Jay-Jay Okocha,96,"CAM  RM,ST",Futties Hero  Explosive,24.75K,5,5,H \ M,97,94,93,99,51,71,"173cm | 5'8""  Average (70kg)",729,505,2461
Robbie Keane,96,ST  CF,Futties Hero  Controlled,25.75K,4,5,H \ M,96,97,90,98,56,90,"175cm | 5'9""  Average (73kg)",262,527,2516
Maxence Lacroix,96,CB,Futties Premium  Lengthy,0,2,4,M \ H,96,46,82,86,96,95,"190cm | 6'3""  High & Average (88kg)",1141,501,2298
Fred,96,CM  CDM,Futties Premium  Explosive,29.75K,4,5,H \ H,97,85,95,97,93,90,"169cm | 5'7""  Short & Lean (62kg)",209,557,2678
Jack Grealish,96,"LW  LM,CAM",Futties Premium  Controlled,42.5K,5,4,H \ M,95,94,97,99,55,85,"180cm | 5'11""  Unique (81kg)",372,525,2452
Leroy Sané,96,"RM  LM,RW,LW",Futties Premium  Controlled,0,5,4,H \ M,99,96,94,97,60,88,"183cm | 6'0""  Unique (80kg)",357,534,2583
